cmcRank,name,symbol,marketPairCount,circulatingSupply,totalSupply,maxSupply,isActive,lastUpdated,dateAdded,name.1,price,volume24h,marketCap,percentChange1h,percentChange24h,percentChange7d,percentChange30d,percentChange60d,percentChange90d,fullyDilluttedMarketCap,marketCapByTotalSupply,dominance,ytdPriceChangePercentage
1,Bitcoin,USD,10442,19476306.0,19476306.0,21000000.0,1,2023-09-04T14:57:00.000Z,2010-07-13 00:00:00+00:00,Bitcoin,25846.14465462699,9905321449.39115,503387422213.7796,-0.15161815,-0.28643868,-1.01107533,-11.01457193,-14.24342478,-0.60234263,542769037747.17,503387422213.7796,48.3538,55.4648
2,Ethereum,USD,7329,120217696.23312505,120217696.23312505,,1,2023-09-04T14:57:00.000Z,2015-08-07 00:00:00+00:00,Ethereum,1629.3691414334437,3448459516.29479,195879004496.47348,-0.23139342,-0.39429588,-1.16701354,-11.13974975,-13.16808931,-11.29780011,195879004496.47,195879004496.47348,18.8155,35.6717
3,Tether USDt,USD,61319,82900167311.56065,85437198727.27763,,1,2023-09-04T14:57:00.000Z,2015-02-25 00:00:00+00:00,Tether USDt,0.99965502211163,17007833055.81452,82871568586.89598,-0.01871015,-0.02066289,0.01140026,0.06820058,-0.04002988,-0.04101899,85407724782.87,85407724782.87244,7.9604,-0.0037
4,BNB,USD,1605,153849960.64085028,153849960.64085028,,1,2023-09-04T14:57:00.000Z,2017-07-25 00:00:00+00:00,BNB,215.4949113367149,346903472.72260594,33153883627.457108,-0.17772864,0.47933878,-1.31726938,-10.89059017,-8.87835451,-22.72814466,33153883627.46,33153883627.457108,3.1847,-11.732
5,XRP,USD,1061,52977697600.0,99988458761.0,100000000000.0,1,2023-09-04T14:57:00.000Z,2013-08-04 00:00:00+00:00,XRP,0.5024069181915768,817941261.9629539,26616361784.10129,-0.10206208,0.1563712,-3.18200423,-19.95519305,7.95243155,-1.8448534,50240691819.16,50234893420.83958,2.5567,48.3061
6,USD Coin,USD,13941,26132208548.27188,26132208548.27188,,1,2023-09-04T14:57:00.000Z,2018-10-08 00:00:00+00:00,USD Coin,1.0001048652602764,2128520865.402696,26134948909.12289,0.00225163,0.01094012,-0.01236427,0.00690662,0.01744503,0.02022884,26134948909.12,26134948909.12289,2.5104,0.0112
7,Cardano,USD,923,35077943561.27,36137410585.885,45000000000.0,1,2023-09-04T14:57:00.000Z,2017-10-01 00:00:00+00:00,Cardano,0.2561813808931787,97283981.90006888,8986316020.419138,-0.24140247,0.68302247,-3.01741393,-12.24369868,-8.16043797,-26.71111765,11528162140.19,9257731745.795795,0.8631,2.5667
8,Dogecoin,USD,774,140869826383.70523,140869826383.70523,,1,2023-09-04T14:57:00.000Z,2013-12-15 00:00:00+00:00,Dogecoin,0.0631598636834031,181104976.03200448,8897319031.499495,-0.20330293,-0.25133093,0.46874283,-17.59822215,-3.34331503,-7.44100788,8897319031.5,8897319031.499495,0.8545,-10.0603
9,Solana,USD,501,408700602.9598597,556523691.9098397,,1,2023-09-04T14:57:00.000Z,2020-04-10 00:00:00+00:00,Solana,19.48653799086216,206624364.47606623,7964159826.465576,-0.42527836,0.57825968,-5.1746701,-14.37031672,1.3635542,-2.44314129,10844720065.22,10844720065.215958,0.7649,95.2134
10,TRON,USD,832,89296077374.77684,89296171716.78827,,1,2023-09-04T14:57:00.000Z,2017-09-13 00:00:00+00:00,TRON,0.0770305258541404,131602851.72133575,6878523796.891072,0.02344461,0.19209036,-0.26676391,-0.44300167,-0.2796875,-1.49860168,6878531064.11,6878531064.105824,0.6607,40.5162
11,Toncoin,USD,137,3431892087.62,5047558528.0,,1,2023-09-04T14:57:00.000Z,2021-08-26 13:40:22+00:00,Toncoin,1.895119296057881,26531516.70523902,6503844917.237027,-0.23637845,0.64067422,26.77050524,58.4414344,38.27970695,13.59817357,9565725564.39,9565725564.394316,0.6245,-17.8461
12,Dai,USD,2560,5347888595.746408,5347888595.746408,,1,2023-09-04T14:57:00.000Z,2019-11-22 00:00:00+00:00,Dai,0.9992759387564496,56950927.97642425,5344016396.879403,-0.02567555,-0.06252244,-0.05440987,-0.08135575,-0.06098114,-0.03527612,5344016396.88,5344016396.879403,0.5133,-0.0514
13,Polkadot,USD,582,1220010567.7130852,1352269925.018265,,1,2023-09-04T14:57:00.000Z,2020-08-19 00:00:00+00:00,Polkadot,4.237831667751288,82049600.16023335,5170199418.845739,-0.44382366,-0.60523959,-6.64118673,-14.49648859,-16.90131523,-16.57330282,5730692311.59,5730692311.590063,0.4964,-3.0426
14,Polygon,USD,880,9319469069.28493,10000000000.0,10000000000.0,1,2023-09-04T14:57:00.000Z,2019-04-28 00:00:00+00:00,Polygon,0.5481732824345025,204765267.2261963,5108683950.256738,-0.54654474,0.85056447,-2.58669152,-17.68079689,-16.72669643,-32.07204695,5481732824.35,5481732824.345025,0.4906,-27.8694
15,Litecoin,USD,993,73616657.97743528,84000000.0,84000000.0,1,2023-09-04T14:57:00.000Z,2013-04-28 00:00:00+00:00,Litecoin,63.66460986520503,224209164.6792852,4686775809.713651,-0.58867915,-0.60357193,-2.33396412,-23.10465152,-35.00949415,-27.94454203,5347827228.68,5347827228.677222,0.4501,-10.0981
16,Shiba Inu,USD,636,589346914631298.1,589589040239379.6,,1,2023-09-04T14:57:00.000Z,2020-08-01 00:00:00+00:00,Shiba Inu,7.66621273262093e-06,91192479.81908607,4518058820.877317,-0.56448075,-1.63269012,-5.06320762,-24.85880425,5.86879411,-5.07949911,4519915007.3,4519915007.2968855,0.434,-5.633
17,Wrapped Bitcoin,USD,1358,162974.76175269,162974.76175269,,1,2023-09-04T14:57:00.000Z,2019-01-30 00:00:00+00:00,Wrapped Bitcoin,25859.577146102005,94098470.43123376,4214458424.4112816,-0.10513913,-0.22132382,-0.96748951,-10.93286532,-14.15600503,-0.52981332,4214458424.41,4214458424.4112816,0.4047,56.1463
18,Bitcoin Cash,USD,769,19494975.0,19494975.0,21000000.0,1,2023-09-04T14:57:00.000Z,2017-07-23 00:00:00+00:00,Bitcoin Cash,192.4471028412961,155039045.3264648,3751751458.713496,-0.26156575,-1.18057657,0.39462939,-14.68937746,-32.02307885,75.65343225,4041389159.67,3751751458.713496,0.3602,98.491
19,Avalanche,USD,500,353604174.0013926,430980354.0013926,720000000.0,1,2023-09-04T14:57:00.000Z,2020-07-13 00:00:00+00:00,Avalanche,9.875463468938223,89029780.8668919,3492005102.8148284,-0.1169511,-0.27018205,-3.57850791,-19.95395178,-20.24306209,-30.29221377,7110333697.64,4256130741.770817,0.3354,-9.1152
20,TrueUSD,USD,430,3441761055.8,3441761055.8,,1,2023-09-04T14:57:00.000Z,2018-03-06 00:00:00+00:00,TrueUSD,0.9983211213722772,1365353804.1130233,3435982756.7216883,-0.01231313,-0.05285243,-0.0868611,-0.18490134,-0.15152154,-0.16159873,3435982756.72,3435982756.7216883,0.33,-0.1837
21,UNUS SED LEO,USD,29,929419295.9,985239504.0,,1,2023-09-04T14:57:00.000Z,2019-05-21 00:00:00+00:00,UNUS SED LEO,3.660538815911561,1096439.71698657,3402175408.899143,-0.10570076,-5.8651228,-3.26310685,-8.53054172,-6.82055224,4.0686527,3606507447.36,3606507447.361454,0.3268,3.8774
22,Stellar,USD,531,27464247989.10612,50001787183.47154,50001806812.0,1,2023-09-04T14:57:00.000Z,2014-08-05 00:00:00+00:00,Stellar,0.122718908620988,168051732.18248904,3370382539.319268,-0.26080856,5.89124798,2.73370637,-10.40167235,25.49967973,39.57100145,6136167161.05,6136164752.254535,0.3237,69.2107
23,Chainlink,USD,1308,538099970.4527867,1000000000.0,1000000000.0,1,2023-09-04T14:57:00.000Z,2017-09-20 00:00:00+00:00,Chainlink,6.027429879880754,122684428.63020608,3243359840.270077,-0.38444839,0.18967582,0.38851522,-16.36201085,-2.03406244,-2.87670532,6027429879.88,6027429879.880754,0.3115,7.203
24,Binance USD,USD,7232,2844551207.689097,2844551207.689097,,1,2023-09-04T14:57:00.000Z,2019-09-20 00:00:00+00:00,Binance USD,1.000039927709427,930973375.8723236,2844664784.103168,-0.0120761,-0.03799189,-0.01988898,-0.03069465,-0.02548029,0.02980319,2844664784.1,2844664784.103168,0.2732,-0.03
25,Monero,USD,242,18327323.03645369,18327323.03645369,,1,2023-09-04T14:57:00.000Z,2014-05-21 00:00:00+00:00,Monero,142.114864997865,62254964.7353925,2604585039.097877,-0.32789915,1.27261454,-0.87963008,-10.16643236,-14.06674818,-0.52592081,2604585039.1,2604585039.097877,0.2502,-4.3493
26,Uniswap,USD,806,577501031.0,1000000000.0,1000000000.0,1,2023-09-04T14:57:00.000Z,2020-09-17 00:00:00+00:00,Uniswap,4.418963813333387,66328565.11490588,2551956158.1517224,-0.42319491,-0.19873905,-6.11996828,-26.39082902,-16.54107765,-7.19026549,4418963813.33,4418963813.333387,0.2451,-15.7675
27,OKB,USD,103,60000000.0,300000000.0,,1,2023-09-04T14:57:00.000Z,2019-04-30 00:00:00+00:00,OKB,42.207167600398726,1753770.4550748,2532430056.0239234,-0.43972659,-0.00634812,-2.1475726,-6.26187948,-1.49461314,-5.6016467,12662150280.12,12662150280.119616,0.2433,53.7384
28,Cosmos,USD,495,362742174.0,362742174.0,,1,2023-09-04T14:57:00.000Z,2019-03-14 00:00:00+00:00,Cosmos,6.782696235767332,66446933.24299126,2460369978.1438584,-0.54964202,-1.01096504,-6.19881898,-19.56148033,-26.28224273,-32.47616849,2460369978.14,2460369978.1438584,0.2363,-28.3352
29,Ethereum Classic,USD,450,142827413.3501602,210700000.0,210700000.0,1,2023-09-04T14:57:00.000Z,2016-07-24 00:00:00+00:00,Ethereum Classic,15.313385420204,61443144.48311748,2187171229.201793,-0.34148451,-0.68916149,-3.32064762,-14.39326191,-18.77898928,-10.96760045,3226530308.04,3226530308.036983,0.2101,-2.9079
30,Hedera,USD,183,33181480123.500668,50000000000.0,50000000000.0,1,2023-09-04T14:57:00.000Z,2019-09-17 00:00:00+00:00,Hedera,0.0484472119156432,36397759.63456167,1607550199.217942,0.17317888,-1.62389125,-12.94881803,-6.69149173,4.35971495,-0.45483976,2422360595.78,2422360595.782164,0.1544,27.2117
32,Internet Computer,USD,175,442227057.91486144,504521475.7841362,,1,2023-09-04T14:57:00.000Z,2021-03-23 00:00:00+00:00,Internet Computer,3.241337967995157,13697496.26408557,1433407353.2942336,-0.24382541,-0.23500563,-7.10209221,-19.52995651,-22.11654996,-25.69557572,1635324615.13,1635324615.12807,0.1377,-19.321
33,Filecoin,USD,357,445918141.0,1961453223.0,,1,2023-09-04T14:57:00.000Z,2017-12-13 00:00:00+00:00,Filecoin,3.1798456471376912,82858475.8632085,1417950859.6385813,-0.35489166,0.28042499,-5.59268141,-21.83298426,-28.26166257,-25.93111458,6237118493.22,6237118493.220745,0.1362,2.1992
34,Lido DAO,USD,238,887702025.5719393,1000000000.0,1000000000.0,1,2023-09-04T14:57:00.000Z,2020-12-15 00:00:00+00:00,Lido DAO,1.5345557088099775,38063856.4904926,1362228211.0636003,-0.61280463,0.11179821,-3.05486314,-16.94547197,-22.80640718,-35.32965948,1534555708.81,1534555708.8099778,0.1308,42.0676
