cmcRank,name,symbol,marketPairCount,circulatingSupply,totalSupply,maxSupply,isActive,lastUpdated,dateAdded,name.1,price,volume24h,marketCap,percentChange1h,percentChange24h,percentChange7d,percentChange30d,percentChange60d,percentChange90d,fullyDilluttedMarketCap,marketCapByTotalSupply,dominance,ytdPriceChangePercentage
3,Tether USDt,USD,61319,82900167311.56065,85437198727.27763,,1,2023-09-04T14:58:00.000Z,2015-02-25 00:00:00+00:00,Tether USDt,0.9995381516173336,17011022255.51326,82861880003.36502,-0.04356809,-0.03585628,0.00869845,0.0587986,-0.03571835,-0.03723797,85397739695.23,85397739695.22588,7.9595,-0.0154
4,BNB,USD,1605,153849960.64085028,153849960.64085028,,1,2023-09-04T14:58:00.000Z,2017-07-25 00:00:00+00:00,BNB,215.49130745737224,347511773.4491664,33153329170.762085,-0.17347936,0.47622266,-1.3430104,-10.87657947,-8.90632481,-22.72605639,33153329170.76,33153329170.762085,3.1846,-11.7334
5,XRP,USD,1061,52977697600.0,99988458761.0,100000000000.0,1,2023-09-04T14:58:00.000Z,2013-08-04 00:00:00+00:00,XRP,0.5022103607718909,819001282.8133734,26605948624.56014,-0.15508735,0.1187287,-3.24014907,-19.97926475,7.96200408,-1.886533,50221036077.19,50215239947.387146,2.5557,48.2481
6,USD Coin,USD,13941,26132208548.27188,26132208548.27188,,1,2023-09-04T14:58:00.000Z,2018-10-08 00:00:00+00:00,USD Coin,1.0000084477921585,2127512693.6184227,26132429307.73833,-0.02382232,0.0005224,-0.00603187,0.00337667,0.01892235,0.01951757,26132429307.74,26132429307.73833,2.5102,0.0015
7,Cardano,USD,923,35077943561.27,36137410585.885,45000000000.0,1,2023-09-04T14:58:00.000Z,2017-10-01 00:00:00+00:00,Cardano,0.2561224060067743,96939617.82014512,8984247302.68231,-0.23296341,0.71068076,-3.06593574,-12.21072891,-8.17923971,-26.74283124,11525508270.3,9255600546.111542,0.8629,2.5431
8,Dogecoin,USD,774,140869826383.70523,140869826383.70523,,1,2023-09-04T14:58:00.000Z,2013-12-15 00:00:00+00:00,Dogecoin,0.063151333221445,180530644.7569168,8896117346.804485,-0.18246883,-0.25879958,0.46605697,-17.52725364,-3.36825311,-7.4584925,8896117346.8,8896117346.804485,0.8544,-10.0724
9,Solana,USD,501,408700602.9598597,556523691.9098397,,1,2023-09-04T14:58:00.000Z,2020-04-10 00:00:00+00:00,Solana,19.484985795639048,206693153.2727456,7963525443.341981,-0.38059229,0.55138791,-5.1728448,-14.34607873,1.26699224,-2.39214198,10843856231.8,10843856231.799828,0.7648,95.1978
10,TRON,USD,832,89296077374.77684,89296171716.78827,,1,2023-09-04T14:58:00.000Z,2017-09-13 00:00:00+00:00,TRON,0.0770526111100365,131487403.27698024,6880495923.610416,0.05102849,0.24331308,-0.18595027,-0.39252275,-0.26602458,-1.47497716,6880503192.91,6880503192.908734,0.6609,40.5565
11,Toncoin,USD,137,3431892087.62,5047558528.0,,1,2023-09-04T14:58:00.000Z,2021-08-26 13:40:22+00:00,Toncoin,1.8982353658601825,26554599.55829472,6514538932.536016,-0.1079019,0.73100349,27.03735576,58.61274173,38.51977151,13.75967603,9581454109.1,9581454109.098764,0.6257,-17.711
12,Dai,USD,2560,5347888595.746408,5347888595.746408,,1,2023-09-04T14:58:00.000Z,2019-11-22 00:00:00+00:00,Dai,0.9993468816940464,56959962.04598656,5344395791.806325,-0.02824216,-0.04889803,-0.04488235,-0.06371053,-0.03316273,-0.03392039,5344395791.81,5344395791.806325,0.5133,-0.0443
13,Polkadot,USD,582,1220010567.7130852,1352269925.018265,,1,2023-09-04T14:58:00.000Z,2020-08-19 00:00:00+00:00,Polkadot,4.237130912086347,81813299.52927086,5169344489.529127,-0.42982484,-0.5943145,-6.66382712,-14.49296538,-16.90132727,-16.59669205,5729744700.78,5729744700.779577,0.4965,-3.0586
14,Polygon,USD,880,9319469069.28493,10000000000.0,10000000000.0,1,2023-09-04T14:58:00.000Z,2019-04-28 00:00:00+00:00,Polygon,0.5482403559979884,205710856.1883865,5109309040.257011,-0.40813908,0.83954531,-2.7049804,-17.69068609,-16.75136463,-32.12036344,5482403559.98,5482403559.979884,0.4907,-27.8605
15,Litecoin,USD,993,73616657.97743528,84000000.0,84000000.0,1,2023-09-04T14:58:00.000Z,2013-04-28 00:00:00+00:00,Litecoin,63.67064169163071,224121789.93269172,4687219852.61661,-0.53633553,-0.57783881,-2.30153382,-23.10210891,-34.98417715,-27.95571517,5348333902.1,5348333902.09698,0.4502,-10.0896
16,Shiba Inu,USD,636,589346914631298.1,589589040239379.6,,1,2023-09-04T14:58:00.000Z,2020-08-01 00:00:00+00:00,Shiba Inu,7.661878656058112e-06,91317930.22142744,4515504546.227245,-0.61671582,-1.66868658,-5.16094917,-25.12647373,5.79700587,-5.13289554,4517359683.26,4517359683.25589,0.4337,-5.6863
17,Wrapped Bitcoin,USD,1358,162974.76175269,162974.76175269,,1,2023-09-04T14:58:00.000Z,2019-01-30 00:00:00+00:00,Wrapped Bitcoin,25861.01999955525,94094605.83731116,4214693573.109068,-0.09647759,-0.21388238,-0.9774778,-10.94060443,-14.15361282,-0.54493256,4214693573.11,4214693573.109068,0.4048,56.155
18,Bitcoin Cash,USD,769,19494975.0,19494975.0,21000000.0,1,2023-09-04T14:58:00.000Z,2017-07-23 00:00:00+00:00,Bitcoin Cash,192.3802006375213,154997714.6191426,3750447201.923462,-0.29624153,-1.16971427,0.37687722,-14.6902323,-32.07927272,75.50104295,4039984213.39,3750447201.923462,0.3602,98.422
19,Avalanche,USD,500,353604174.0013926,430980354.0013926,720000000.0,1,2023-09-04T14:58:00.000Z,2020-07-13 00:00:00+00:00,Avalanche,9.875663710898634,88857098.19488384,3492075909.207839,-0.07272327,-0.23294164,-3.56974701,-19.93732867,-20.24975752,-30.31497761,7110477871.85,4256217042.1218,0.3354,-9.1134
20,TrueUSD,USD,430,3441761055.8,3441761055.8,,1,2023-09-04T14:58:00.000Z,2018-03-06 00:00:00+00:00,TrueUSD,0.9984170893690076,1365993633.3798964,3436313055.635438,-0.00378803,-0.04010845,-0.08842562,-0.16460231,-0.15105613,-0.1601556,3436313055.64,3436313055.635438,0.33,-0.1741
21,UNUS SED LEO,USD,29,929419295.9,985239504.0,,1,2023-09-04T14:58:00.000Z,2019-05-21 00:00:00+00:00,UNUS SED LEO,3.6623906563013455,1097256.88593131,3403896545.0903354,-0.12300769,-5.82338923,-3.23959531,-8.4879001,-6.74325813,4.14453991,3608331953.67,3608331953.668572,0.3269,3.9299
22,Stellar,USD,531,27464247989.10612,50001787183.47154,50001806812.0,1,2023-09-04T14:58:00.000Z,2014-08-05 00:00:00+00:00,Stellar,0.1226005844806187,167974057.45259443,3367132855.785067,-0.23079339,5.72239882,2.72744293,-10.45334967,25.38743965,39.39194496,6130250740.24,6130248333.76912,0.3234,69.0475
23,Chainlink,USD,1308,538099970.4527867,1000000000.0,1000000000.0,1,2023-09-04T14:58:00.000Z,2017-09-20 00:00:00+00:00,Chainlink,6.028290658292113,122649466.5294451,3243823025.107796,-0.33723002,0.22264546,0.38981968,-16.35670671,-2.00536477,-2.93103181,6028290658.29,6028290658.292113,0.3115,7.2184
24,Binance USD,USD,7232,2844551207.689097,2844551207.689097,,1,2023-09-04T14:58:00.000Z,2019-09-20 00:00:00+00:00,Binance USD,1.0000832212111106,931622998.3583474,2844787934.685667,-0.01533895,-0.02417295,-0.01471607,-0.01340695,-0.00464598,0.04152736,2844787934.69,2844787934.685667,0.2732,-0.0257
25,Monero,USD,242,18327323.03645369,18327323.03645369,,1,2023-09-04T14:58:00.000Z,2014-05-21 00:00:00+00:00,Monero,142.11709492476749,62291566.2177456,2604625907.688567,-0.3375572,1.24957197,-1.06778033,-10.14437838,-13.96133751,-0.60612467,2604625907.69,2604625907.688567,0.2502,-4.3478
26,Uniswap,USD,806,577501031.0,1000000000.0,1000000000.0,1,2023-09-04T14:58:00.000Z,2020-09-17 00:00:00+00:00,Uniswap,4.417905547138338,66335249.50385811,2551345008.333009,-0.41570161,-0.20934026,-6.12714312,-26.3993104,-16.5742849,-7.24848855,4417905547.14,4417905547.138338,0.2451,-15.7877
27,OKB,USD,103,60000000.0,300000000.0,,1,2023-09-04T14:58:00.000Z,2019-04-30 00:00:00+00:00,OKB,42.20174203469885,1748869.48745469,2532104522.081931,-0.48060699,-0.03124099,-2.17461036,-6.28566817,-1.52152857,-5.64478631,12660522610.41,12660522610.409657,0.2432,53.7187
28,Cosmos,USD,495,362742174.0,362742174.0,,1,2023-09-04T14:58:00.000Z,2019-03-14 00:00:00+00:00,Cosmos,6.783958872649209,66490277.35415261,2460827989.7913632,-0.46053638,-0.98213596,-6.22496338,-19.58468963,-26.23919441,-32.49941283,2460827989.79,2460827989.7913632,0.2363,-28.3218
29,Ethereum Classic,USD,450,142827413.3501602,210700000.0,210700000.0,1,2023-09-04T14:58:00.000Z,2016-07-24 00:00:00+00:00,Ethereum Classic,15.313267838162956,61355013.88196475,2187154435.263015,-0.33597833,-0.68689154,-3.31187451,-14.41211466,-18.76917166,-10.97910064,3226505533.5,3226505533.5009346,0.2101,-2.9087
30,Hedera,USD,183,33181480123.500668,50000000000.0,50000000000.0,1,2023-09-04T14:58:00.000Z,2019-09-17 00:00:00+00:00,Hedera,0.0484381400997014,36383547.42064774,1607249182.937584,0.13612392,-1.64221455,-12.98297145,-6.77497203,4.30609837,-0.53501481,2421907004.99,2421907004.985072,0.1544,27.1879
32,Internet Computer,USD,175,442227057.91486144,504521475.7841362,,1,2023-09-04T14:58:00.000Z,2021-03-23 00:00:00+00:00,Internet Computer,3.240250847006238,13712080.3739845,1432926598.9777064,-0.25846609,-0.27302308,-7.16890139,-19.54482617,-22.05109514,-25.73155067,1634776139.24,1634776139.2423844,0.1376,-19.348
33,Filecoin,USD,357,445918141.0,1961453223.0,,1,2023-09-04T14:58:00.000Z,2017-12-13 00:00:00+00:00,Filecoin,3.179809663886103,82248256.90245663,1417934814.053926,-0.28663916,0.2641045,-5.54440546,-21.79214195,-28.23748287,-25.9705961,6237047913.76,6237047913.755943,0.1362,2.1981
34,Lido DAO,USD,238,887702025.5719393,1000000000.0,1000000000.0,1,2023-09-04T14:58:00.000Z,2020-12-15 00:00:00+00:00,Lido DAO,1.5342519845613658,38063834.04296357,1361958594.432892,-0.56597965,0.08404602,-3.0421943,-16.94476105,-22.74582515,-35.33244225,1534251984.56,1534251984.5613658,0.1308,42.0395
35,Cronos,USD,198,25263013692.0,30263013692.0,30263013692.0,1,2023-09-04T14:58:00.000Z,2018-12-14 00:00:00+00:00,Cronos,0.0507394185901544,11120280.08759256,1281830626.5671906,0.08713714,0.40239613,-3.39316086,-12.13692863,-11.47598101,-14.36440574,1535527719.52,1535527719.517963,0.1231,-10.718
36,Aptos,USD,262,228887835.4122627,1053453055.4411684,,1,2023-09-04T14:58:00.000Z,2022-10-19 01:50:25+00:00,Aptos,5.492323065386794,58817239.28072726,1257125937.8212266,-0.13798042,-0.42710185,-3.42415348,-18.05274698,-23.42533716,-31.49684394,5785904514.7,5785904514.701722,0.1208,55.7373
37,Quant,USD,183,12072738.0,14881364.27,14881364.0,1,2023-09-04T14:58:00.000Z,2018-08-10 00:00:00+00:00,Quant,97.28496462163513,14332496.81491804,1174495889.2162695,-0.32501026,-1.99396317,-4.66443853,-4.19505408,-6.32067305,-17.14232704,1447732970.26,1447732996.5286148,0.1128,-8.0378
